SPFB.RTS-12.18,1,10/09/18,10:01,103750.0000000,103900.0000000,103680.0000000,103900.0000000,19	103750.00000	103750,00000	103750	1		10/09/18 открытие	10/09/18 закрытие	10.09.2018 мин	10.09.2018 макс	10/10/18 открытие	10/10/18 закрытие	10/10/18 мин	 10/10/18 макс	08/11/18 открытие	08/11/18 закрытие	08/11/18 мин	08/11/18 макс	08/12/18 открытие	08/12/18 закрытие	08.12.2018 мин	08.12.2018 макс
SPFB.RTS-12.18,1,10/09/18,12:07,103940.0000000,103950.0000000,103920.0000000,103920.0000000,7	103940.00000	103940,00000	103940																		
SPFB.RTS-12.18,1,10/09/18,12:08,103900.0000000,103900.0000000,103900.0000000,103900.0000000,10	103900.00000	103900,00000	103900																		
SPFB.RTS-12.18,1,10/09/18,12:10,103860.0000000,103860.0000000,103860.0000000,103860.0000000,2	103860.00000	103860,00000	103860																		
SPFB.RTS-12.18,1,10/09/18,12:11,103850.0000000,103850.0000000,103820.0000000,103820.0000000,6	103850.00000	103850,00000	103850																		
SPFB.RTS-12.18,1,10/09/18,12:12,103840.0000000,103840.0000000,103840.0000000,103840.0000000,1	103840.00000	103840,00000	103840																		
SPFB.RTS-12.18,1,10/09/18,12:13,103870.0000000,103900.0000000,103870.0000000,103900.0000000,11	103870.00000	103870,00000	103870																		
SPFB.RTS-12.18,1,10/09/18,12:14,103890.0000000,103890.0000000,103890.0000000,103890.0000000,2	103890.00000	103890,00000	103890																		
SPFB.RTS-12.18,1,10/09/18,12:15,103890.0000000,103890.0000000,103890.0000000,103890.0000000,5	103890.00000	103890,00000	103890																		
SPFB.RTS-12.18,1,10/09/18,12:16,103830.0000000,103830.0000000,103820.0000000,103820.0000000,2	103830.00000	103830,00000	103830																		
SPFB.RTS-12.18,1,10/09/18,12:17,103800.0000000,103830.0000000,103800.0000000,103810.0000000,33	103800.00000	103800,00000	103800																		
SPFB.RTS-12.18,1,10/09/18,12:20,103830.0000000,103830.0000000,103830.0000000,103830.0000000,1	103830.00000	103830,00000	103830																		
SPFB.RTS-12.18,1,10/09/18,12:21,103840.0000000,103840.0000000,103840.0000000,103840.0000000,1	103840.00000	103840,00000	103840																		
SPFB.RTS-12.18,1,10/09/18,12:22,103860.0000000,103860.0000000,103840.0000000,103860.0000000,7	103860.00000	103860,00000	103860																		
SPFB.RTS-12.18,1,10/09/18,12:23,103850.0000000,103850.0000000,103830.0000000,103830.0000000,2	103850.00000	103850,00000	103850																		
SPFB.RTS-12.18,1,10/09/18,12:24,103810.0000000,103810.0000000,103750.0000000,103750.0000000,35	103810.00000	103810,00000	103810																		
SPFB.RTS-12.18,1,10/09/18,12:25,103760.0000000,103760.0000000,103740.0000000,103750.0000000,20	103760.00000	103760,00000	103760																		
SPFB.RTS-12.18,1,10/09/18,12:26,103750.0000000,103750.0000000,103740.0000000,103740.0000000,2	103750.00000	103750,00000	103750																		
SPFB.RTS-12.18,1,10/09/18,12:27,103770.0000000,103770.0000000,103720.0000000,103720.0000000,4	103770.00000	103770,00000	103770																		
SPFB.RTS-12.18,1,10/09/18,12:28,103720.0000000,103730.0000000,103710.0000000,103730.0000000,4	103720.00000	103720,00000	103720																		
SPFB.RTS-12.18,1,10/09/18,12:29,103750.0000000,103750.0000000,103750.0000000,103750.0000000,9	103750.00000	103750,00000	103750																		
SPFB.RTS-12.18,1,10/09/18,12:31,103780.0000000,103780.0000000,103770.0000000,103770.0000000,10	103780.00000	103780,00000	103780																		
SPFB.RTS-12.18,1,10/09/18,12:32,103760.0000000,103780.0000000,103760.0000000,103780.0000000,2	103760.00000	103760,00000	103760																		
SPFB.RTS-12.18,1,10/09/18,12:37,103820.0000000,103820.0000000,103820.0000000,103820.0000000,1	103820.00000	103820,00000	103820																		
